Country Code,Country Name,Gender,Date,Unemployement Rate
AUT,Austria,ALL,10/1/2009,6
AUT,Austria,ALL,11/1/2009,6
AUT,Austria,ALL,12/1/2009,5.4
AUT,Austria,ALL,1/1/2010,5.3
AUT,Austria,ALL,2/1/2010,5.3
AUT,Austria,ALL,3/1/2010,5.5
AUT,Austria,ALL,4/1/2010,5.5
AUT,Austria,ALL,5/1/2010,5.3
AUT,Austria,ALL,6/1/2010,5.3
AUT,Austria,ALL,7/1/2010,5.2
AUT,Austria,ALL,8/1/2010,5.2
AUT,Austria,ALL,9/1/2010,5.1
AUT,Austria,ALL,10/1/2010,5.2
AUT,Austria,ALL,11/1/2010,4.7
AUT,Austria,ALL,12/1/2010,4.8
AUT,Austria,ALL,1/1/2011,5
AUT,Austria,ALL,2/1/2011,5.5
AUT,Austria,ALL,3/1/2011,5
AUT,Austria,ALL,4/1/2011,4.9
AUT,Austria,ALL,5/1/2011,4.9
AUT,Austria,ALL,6/1/2011,4.6
AUT,Austria,ALL,7/1/2011,4.3
AUT,Austria,ALL,8/1/2011,4.4
AUT,Austria,ALL,9/1/2011,4.4
AUT,Austria,ALL,10/1/2011,5.2
AUT,Austria,ALL,11/1/2011,5.3
AUT,Austria,ALL,12/1/2011,5.1
AUT,Austria,ALL,1/1/2012,4.6
AUT,Austria,ALL,2/1/2012,5
AUT,Austria,ALL,3/1/2012,4.9
AUT,Austria,ALL,4/1/2012,5
AUT,Austria,ALL,5/1/2012,5
AUT,Austria,ALL,6/1/2012,5.5
AUT,Austria,ALL,7/1/2012,5.4
AUT,Austria,ALL,8/1/2012,5.6
AUT,Austria,ALL,9/1/2012,5.5
AUT,Austria,ALL,10/1/2012,5.3
AUT,Austria,ALL,11/1/2012,5.4
AUT,Austria,ALL,12/1/2012,5.5
AUT,Austria,ALL,1/1/2013,5.8
AUT,Austria,ALL,2/1/2013,5.6
AUT,Austria,ALL,3/1/2013,5.9
AUT,Austria,ALL,4/1/2013,5.5
AUT,Austria,ALL,5/1/2013,5.4
AUT,Austria,ALL,6/1/2013,5.5
AUT,Austria,ALL,7/1/2013,5.7
AUT,Austria,ALL,8/1/2013,5.6
AUT,Austria,ALL,9/1/2013,6
AUT,Austria,ALL,10/1/2013,5.8
AUT,Austria,ALL,11/1/2013,6
AUT,Austria,ALL,12/1/2013,5.9
AUT,Austria,ALL,1/1/2014,6.2
AUT,Austria,ALL,2/1/2014,5.8
AUT,Austria,ALL,3/1/2014,6.2
AUT,Austria,ALL,4/1/2014,5.5
AUT,Austria,ALL,5/1/2014,5.9
AUT,Austria,ALL,6/1/2014,6.1
AUT,Austria,ALL,7/1/2014,6.1
AUT,Austria,ALL,8/1/2014,6.1
AUT,Austria,ALL,9/1/2014,6.1
AUT,Austria,ALL,10/1/2014,6
AUT,Austria,ALL,11/1/2014,6.3
AUT,Austria,ALL,12/1/2014,6.1
AUT,Austria,ALL,1/1/2015,5.9
AUT,Austria,ALL,2/1/2015,6
AUT,Austria,ALL,3/1/2015,6
AUT,Austria,ALL,4/1/2015,6.3
AUT,Austria,ALL,5/1/2015,6.4
AUT,Austria,ALL,6/1/2015,6.1
AUT,Austria,ALL,7/1/2015,6.1
AUT,Austria,ALL,8/1/2015,6
AUT,Austria,ALL,9/1/2015,6.2
AUT,Austria,ALL,10/1/2015,6
AUT,Austria,ALL,11/1/2015,6.7
AUT,Austria,ALL,12/1/2015,6.4
AUT,Austria,ALL,1/1/2016,6.5
AUT,Austria,ALL,2/1/2016,6.4
AUT,Austria,ALL,3/1/2016,6.3
AUT,Austria,ALL,4/1/2016,6.2
AUT,Austria,ALL,5/1/2016,6.8
AUT,Austria,ALL,6/1/2016,6.7
AUT,Austria,ALL,7/1/2016,6.5
AUT,Austria,ALL,8/1/2016,6.9
AUT,Austria,ALL,9/1/2016,6.6
AUT,Austria,ALL,10/1/2016,6.3
AUT,Austria,ALL,11/1/2016,6.3
AUT,Austria,ALL,12/1/2016,6.1
AUT,Austria,ALL,1/1/2017,6.2
AUT,Austria,ALL,2/1/2017,6
